Date,Time,Score,Result
23.07.2024,21:30,3:4,Win
30.07.2024,20:00,2:1,Win
6.08.2024,21:30,2:1,Loss
10.08.2024,21:45,1:0,Win
13.08.2024,20:00,1:1,Draw
17.08.2024,21:45,2:2,Draw
25.08.2024,21:45,0:5,Win
30.08.2024,21:00,3:0,Win
15.09.2024,17:00,0:2,Win
21.09.2024,20:00,1:3,Loss
26.09.2024,19:45,2:1,Win
29.09.2024,19:00,0:2,Win
3.10.2024,22:00,1:1,Draw
20.10.2024,19:00,2:2,Draw
24.10.2024,22:00,1:1,Draw
27.10.2024,19:00,2:0,Win
3.11.2024,19:00,2:3,Win
7.11.2024,23:00,3:1,Loss
10.11.2024,19:00,4:0,Win
23.11.2024,16:00,2:6,Win
28.11.2024,23:00,1:2,Win
2.12.2024,20:00,3:1,Win
7.12.2024,19:00,1:0,Loss
11.12.2024,18:30,0:2,Loss
15.12.2024,19:00,3:1,Win
20.12.2024,20:00,1:1,Draw
5.01.2025,19:00,2:1,Win
