Date,Total Steps
2024-07-22,4594
2024-07-23,11438
2024-07-24,1762
2024-07-25,5515
2024-07-26,5829
2024-07-27,5172
2024-07-28,4074
2024-07-29,8405
2024-07-30,982
2024-07-31,124
2024-08-01,5263
2024-08-02,2044
2024-08-03,3500
2024-08-04,331
2024-08-05,1833
2024-08-06,2802
2024-08-07,2396
2024-08-08,16408
2024-08-09,5834
2024-08-10,5175
2024-08-11,2530
2024-08-12,4932
2024-08-13,4502
2024-08-14,3290
2024-08-15,7428
2024-08-16,5895
2024-08-17,7208
2024-08-18,5255
2024-08-19,6827
2024-08-20,17047
2024-08-21,16747
2024-08-22,7657
2024-08-23,10322
2024-08-24,4250
2024-08-25,5470
2024-08-26,8475
2024-08-27,6024
2024-08-28,9595
2024-08-29,7715
2024-08-30,7596
2024-08-31,2468
2024-09-01,1693
2024-09-02,312
2024-09-03,5467
2024-09-04,354
2024-09-05,1086
2024-09-06,338
2024-09-07,5328
2024-09-08,6657
2024-09-09,159
2024-09-10,160
2024-09-11,244
2024-09-12,4490
2024-09-13,16670
2024-09-14,5458
2024-09-15,386
2024-09-16,140
2024-09-17,792
2024-09-18,428
2024-09-19,8318
2024-09-20,2461
2024-09-21,7150
2024-09-22,5905
2024-09-23,12684
2024-09-24,12964
2024-09-25,11618
2024-09-26,7809
2024-09-27,4170
2024-09-28,170
2024-09-29,2908
2024-09-30,10868
2024-10-01,6839
2024-10-02,7732
2024-10-03,9147
2024-10-04,8191
2024-10-05,8212
2024-10-06,4405
2024-10-07,9276
2024-10-08,7071
2024-10-09,11953
2024-10-10,11700
2024-10-11,5501
2024-10-12,12911
2024-10-13,6614
2024-10-14,8657
2024-10-15,7634
2024-10-16,10140
2024-10-17,5196
2024-10-18,7068
2024-10-19,5936
2024-10-20,3600
2024-10-21,7906
2024-10-22,8338
2024-10-23,7308
2024-10-24,5913
2024-10-25,12097
2024-10-26,4933
2024-10-27,310
2024-10-28,6259
2024-10-29,355
2024-10-30,8665
2024-10-31,10012
2024-11-01,5978
2024-11-02,10293
2024-11-03,7215
2024-11-04,6573
2024-11-05,2512
2024-11-06,5499
2024-11-07,6387
2024-11-08,5608
2024-11-09,7234
2024-11-10,9975
2024-11-11,7320
2024-11-12,4325
2024-11-13,6166
2024-11-14,8487
2024-11-15,6507
2024-11-16,1470
2024-11-17,6883
2024-11-18,5364
2024-11-19,4971
2024-11-20,5575
2024-11-21,5027
2024-11-22,3543
2024-11-23,7729
2024-11-24,4809
2024-11-25,2390
2024-11-26,6742
2024-11-27,7479
2024-11-28,7631
2024-11-29,6566
2024-11-30,5574
2024-12-01,6692
2024-12-02,5542
2024-12-03,6319
2024-12-04,6817
2024-12-05,8026
2024-12-06,2840
2024-12-07,4693
2024-12-08,1374
2024-12-09,5289
2024-12-10,7486
2024-12-11,11505
2024-12-12,8383
2024-12-13,6939
2024-12-14,8806
2024-12-15,3707
2024-12-16,4794
2024-12-17,5021
2024-12-18,7962
2024-12-19,6695
2024-12-20,2957
2024-12-21,2435
2024-12-22,4451
2024-12-23,6227
2024-12-24,5162
2024-12-25,6468
2024-12-26,6206
2024-12-27,8682
2024-12-28,3752
2024-12-29,5156
2024-12-30,408
2024-12-31,10453
2025-01-01,6132
2025-01-02,5949
2025-01-03,9782
2025-01-04,4307
2025-01-05,4847
2025-01-06,6971
2025-01-07,5592
2025-01-08,4727
